Dates,DOM_DFs,FOR_DFs
05/08/2021,1,1
06/08/2021,0.999850448,0.999998639
09/08/2021,0.999374515,0.999994556
10/08/2021,0.999215921,0.999993195
11/08/2021,0.999057353,0.999991833
12/08/2021,0.998898809,0.999990472
13/08/2021,0.998740291,0.999989111
16/08/2021,0.998241597,0.999985028
17/08/2021,0.998075421,0.999983667
18/08/2021,0.997909272,0.999982306
19/08/2021,0.997743128,0.999980921
20/08/2021,0.997577012,0.999979537
23/08/2021,0.997078829,0.999975384
24/08/2021,0.996912823,0.999973999
25/08/2021,0.996746845,0.999972615
26/08/2021,0.996580904,0.99997124
27/08/2021,0.99641499,0.999969865
31/08/2021,0.995751612,0.999964365
01/09/2021,0.995585837,0.99996299
02/09/2021,0.995420081,0.999961608
03/09/2021,0.995254354,0.999960226
06/09/2021,0.994757337,0.999956079
07/09/2021,0.99459172,0.999954697
08/09/2021,0.994420917,0.999953315
09/09/2021,0.994250142,0.999951933
10/09/2021,0.994079398,0.999950551
13/09/2021,0.993567339,0.999946404
14/09/2021,0.993396537,0.99994503
15/09/2021,0.993225765,0.999943656
16/09/2021,0.993055021,0.999942283
17/09/2021,0.992884308,0.999940909
20/09/2021,0.992372342,0.999936787
21/09/2021,0.992201745,0.999935414
22/09/2021,0.992031178,0.99993404
23/09/2021,0.99186064,0.999932666
24/09/2021,0.991690131,0.999931292
27/09/2021,0.991178781,0.999927171
28/09/2021,0.99100839,0.999925797
29/09/2021,0.990838028,0.999924423
30/09/2021,0.990667695,0.999923049
01/10/2021,0.990497391,0.999921675
04/10/2021,0.989986656,0.999917554
05/10/2021,0.98981647,0.99991618
06/10/2021,0.989646312,0.999914807
07/10/2021,0.989471677,0.999913433
08/10/2021,0.989297071,0.999912059
11/10/2021,0.988773441,0.999907938
12/10/2021,0.988598959,0.999906564
13/10/2021,0.988424508,0.99990519
14/10/2021,0.988250088,0.999903816
15/10/2021,0.988075513,0.999902441
18/10/2021,0.987551973,0.999898317
19/10/2021,0.987377521,0.999896942
20/10/2021,0.9872031,0.999895568
21/10/2021,0.98702871,0.999894193
22/10/2021,0.986854351,0.999892818
25/10/2021,0.986331458,0.999888694
26/10/2021,0.986157222,0.999887319
27/10/2021,0.985983016,0.999885944
28/10/2021,0.985808842,0.999884569
29/10/2021,0.985634698,0.999883195
01/11/2021,0.985112451,0.99987907
02/11/2021,0.984938431,0.999877696
03/11/2021,0.984764441,0.999876321
04/11/2021,0.984590481,0.999874946
05/11/2021,0.984416553,0.999873571
08/11/2021,0.983894952,0.999869447
09/11/2021,0.983717844,0.999868072
10/11/2021,0.983540768,0.999866698
11/11/2021,0.983363724,0.999865323
12/11/2021,0.983186712,0.999863948
15/11/2021,0.982655647,0.99986005
16/11/2021,0.982478689,0.999858751
17/11/2021,0.982301762,0.999857452
18/11/2021,0.982124868,0.999856152
19/11/2021,0.981948006,0.999854853
22/11/2021,0.981417609,0.999850955
23/11/2021,0.981240874,0.999849656
24/11/2021,0.981064171,0.999848356
25/11/2021,0.980887499,0.999847057
26/11/2021,0.98071086,0.999845758
29/11/2021,0.980181132,0.99984186
30/11/2021,0.980004619,0.999840561
01/12/2021,0.979828139,0.999839261
02/12/2021,0.97965169,0.999837962
03/12/2021,0.979475273,0.999836663
06/12/2021,0.978946212,0.999832765
07/12/2021,0.978769922,0.999831466
08/12/2021,0.978593663,0.999830167
09/12/2021,0.978417437,0.999828867
10/12/2021,0.978241242,0.999827568
13/12/2021,0.977712848,0.99982367
14/12/2021,0.977536927,0.999822365
