Dates,Periods,10BF,25BF,ATM,25RR,10RR
19/08/2021,2W,0.009875,0.0031,0.095,0.022,0.044
26/08/2021,3W,0.010625,0.0033,0.09625,0.022,0.0451
06/09/2021,1M,0.011375,0.0035,0.0975,0.022,0.0462
05/10/2021,2M,0.013,0.004,0.103,0.025,0.0525
05/11/2021,3M,0.014625,0.0045,0.105,0.0285,0.05985
07/02/2022,6M,0.0195,0.006,0.111,0.0315,0.06615
05/05/2022,9M,0.021125,0.0065,0.1155,0.0335,0.07035
05/08/2022,1Y,0.02275,0.007,0.119,0.036,0.0756
07/08/2023,2Y,0.026,0.008,0.121,0.0375,0.07875
05/08/2024,3Y,0.027625,0.0085,0.123,0.0385,0.08085
