;Unnamed: 0;Unnamed: 1;Strike;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12;Unnamed: 13;Unnamed: 14;Unnamed: 15;Unnamed: 16;Unnamed: 17;Unnamed: 18;Unnamed: 19
0;Periods;Date;17.4;18.27;20.01;23.49;27.84;30.45;32.19;34.8;37.41;39.15;42.63;46.11;51.33;54.81;59.16;63.51
1;1M;05/09/2021;#N/A;#N/A;#N/A;#N/A;0.323000045;0.294381043;0.278500958;0.260514083;0.251105244;0.248898526;0.250042766;#N/A;#N/A;#N/A;#N/A;#N/A
2;2M;05/10/2021;#N/A;0.445294894;0.419220654;0.368384997;0.316664054;0.292033819;0.278362663;0.262780387;0.253895272;0.251145087;0.250434583;0.253264179;#N/A;#N/A;#N/A;#N/A
3;3M;05/11/2021;0.443701804;0.430286082;0.404597867;0.358926172;0.313275197;0.29138662;0.279108285;0.264715611;0.255624757;0.252184612;0.249609967;0.250500918;0.254957426;0.258902244;#N/A;#N/A
4;6M;05/02/2022;0.412879165;0.401646019;0.380560532;0.344636408;0.308813062;0.291516012;0.281705369;0.26979006;0.261237886;0.257218031;0.252240544;0.250081079;0.249874401;0.250866459;0.252776636;0.255126515
5;9M;05/05/2022;0.3947533;0.385318903;0.367538291;0.337082079;0.30652054;0.291574162;0.282961319;0.272111558;0.263671036;0.259276394;0.252900918;0.248946446;0.245925378;0.245134364;0.244973319;0.245434571
6;1Y;05/08/2022;0.385254834;0.376845245;0.361098747;0.334174088;0.307092514;0.293748508;0.285957369;0.27586593;0.267558962;0.262945137;0.255606158;0.2503173;0.245127368;0.242941419;0.241167842;0.240184896
7;18M;05/02/2023;0.375364888;0.367938962;0.354086659;0.330346517;0.306317879;0.294331022;0.28722315;0.277771954;0.269664734;0.264946365;0.256963826;0.250657343;0.243636321;0.240195383;0.236899178;0.234495703
8;2Y;05/08/2023;0.367623918;0.360761605;0.347916742;0.325810037;0.303286233;0.291956709;0.285185253;0.276086597;0.268140727;0.263432504;0.25527593;0.248586738;0.240787291;0.236762272;0.232734568;0.229616353
9;3Y;05/08/2024;0.359800022;0.353398948;0.341416491;0.320701043;0.299470019;0.288707615;0.282224744;0.273440485;0.265662457;0.260987825;0.252727765;0.24573828;0.237259626;0.23268979;0.22794989;0.224123796
10;4Y;05/08/2025;0.353895393;0.34776001;0.33627224;0.316365713;0.295883915;0.285452495;0.279150966;0.270570056;0.262922676;0.258296704;0.250052345;0.24297888;0.234243015;0.229451016;0.224387642;0.220226828
11;5Y;05/08/2026;0.354117536;0.347987902;0.336600074;0.316897422;0.29661502;0.286285219;0.280039783;0.271519527;0.263923108;0.259317744;0.251087999;0.244000922;0.235196451;0.230336904;0.22516784;0.220895338
